"","log2FC","AveExpr","t","pValue","adjP","B","Symbol","change","-log10(pvalue)","group"
"Snw1",0.149830744125071,6.12583768282495,1.72715926398138,0.0893575119094899,0.234510867632142,-5.79266619461436,"Snw1","NOT",1.0488689323166,"NOT"
"Srsf1",-1.39328039232507,7.03951938370242,-16.33686313555,1.34939996043879e-23,1.28690447763e-20,43.4462018538791,"Srsf1","DOWN",22.8698593069132,"DOWN"
"Srsf10",-0.504374551878578,6.85447465425363,-5.83603554394101,2.39780683394613e-07,3.53738040057087e-06,6.21730377564766,"Srsf10","NOT",6.6201858063624,"NOT"
"Srsf2",-1.47768446324005,7.14345462192314,-17.988798295144,1.15795993300768e-25,1.66423220477057e-22,48.170563187114,"Srsf2","DOWN",24.9363064675298,"DOWN"
"Srsf3",-1.06063882496457,7.50482735224996,-13.3750673182403,1.54479978022812e-19,4.4876433615627e-17,34.1018841213851,"Srsf3","DOWN",18.8111278010138,"DOWN"
"Srsf4",-0.297316844353088,4.95893753927133,-2.94454529426642,0.00461712277903324,0.0214713507709572,-2.95775278678199,"Srsf4","NOT",2.335628576489,"NOT"
"Srsf5",-0.291767961429753,7.30124861541036,-3.70414705734822,0.000468412929396301,0.00297118510174792,-1.22911741732214,"Srsf5","NOT",3.32937112579444,"NOT"
"Srsf6",-1.31450454457639,7.1780716713261,-16.1424336593814,2.41153316151482e-23,1.93681576592604e-20,42.8664356027475,"Srsf6","DOWN",22.6177067616236,"DOWN"
"Srsf7",-0.69462291814275,6.47704457383277,-8.19899521893316,2.47672957137873e-11,9.52564146558297e-10,15.3631325182575,"Srsf7","DOWN",10.606121410479,"DOWN"
"Srsf9",-0.526900304935306,6.35035227103363,-5.58863286776538,6.1163546363211e-07,8.20574741209275e-06,5.37783155967371,"Srsf9","NOT",6.21350734141992,"NOT"
"Syf2",0.427151234643598,6.1950271695801,4.94420650422972,6.64197309894375e-06,6.96782018489654e-05,3.06808068235458,"Syf2","NOT",5.17770288769637,"NOT"
