"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Car3",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Bhlha9",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"BC042761",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"BB365896",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"AU017674",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"AU015228",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Asb10",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Ankrd63",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Ankrd31",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Acot12",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"AC174800.1",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"AC168977.2",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"AC165294.2",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"AC154232.1",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"AC151293.1",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"A930016O22Rik",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"9530085P06Rik",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"4933431G14Rik",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"4933416M07Rik",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"4930553M12Rik",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"4930467E23Rik",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"4930429F24Rik",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"4921501I09Rik",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"1700030N18Rik",-0.628050615957492,-4.73176326720628,-0.799962869003111,0.426933079564868,0.617721697858202,-5.02201061228546
"Zfp42-ps1",-0.674513678974246,-3.41096118327198,-0.720307602700499,0.474172267032399,0.662889576401665,-5.02206792068783
"Sec14l5",0.700236523729869,-3.28813358424428,0.713548403908796,0.478312193014621,0.666391380339298,-5.02207535545155
"Smad7",0.201751912751792,5.28009214238824,2.06674881212602,0.0431433870096503,0.136214183035325,-5.02214678355699
"Abca13",-0.659878353042165,-3.9392820168457,-0.745026157743304,0.459205696409185,0.649817585730716,-5.02227585479848
"Gm29282",0.661737557135932,-3.55229400103114,0.719223310753739,0.474835019838588,0.663309762973495,-5.02280229548872
"Bmx",0.661737557135932,-3.55229400103114,0.719223310753739,0.474835019838588,0.663309762973495,-5.02280229548872
"Gm2044",-0.707335211855024,-2.34272936058236,-0.806734207024132,0.423051202920876,0.617721697858202,-5.02287764855837
"Gm49086",0.68290549299264,-3.91880589221478,0.73978985694621,0.462353332447842,0.652176375285563,-5.02291127515382
"Gm15846",0.68290549299264,-3.91880589221478,0.73978985694621,0.462353332447842,0.652176375285563,-5.02291127515382
