"","gene_ref","gene_id","gene_name","condition_1","condition_2","gene_switch_q_value","switchConsequencesGene","Rank"
"49","geneComp_00022215","Sirpa","Sirpa","sgC9","sgNTC",1.5155002447188e-25,TRUE,26
"51","geneComp_00022978","Spg20","Spg20","sgC9","sgNTC",3.37857406554207e-25,FALSE,27
"53","geneComp_00015236","Hnrnpdl","Hnrnpdl","sgC9","sgNTC",6.26429902549587e-25,TRUE,28
"55","geneComp_00023118","Srsf3","Srsf3","sgC9","sgNTC",8.93981976023048e-25,TRUE,29
"57","geneComp_00002340","Atp2b1","Atp2b1","sgC9","sgNTC",1.94220319813198e-24,TRUE,30
"59","geneComp_00001508","Adipor1","Adipor1","sgC9","sgNTC",2.17527574740081e-23,FALSE,31
"61","geneComp_00025497","Wipi1","Wipi1","sgC9","sgNTC",3.72957721280405e-23,FALSE,32
"63","geneComp_00007864","Glud1","Glud1","sgC9","sgNTC",1.05361308869522e-22,TRUE,33
"65","geneComp_00024983","Ung","Ung","sgC9","sgNTC",1.56122784502812e-22,TRUE,34
"66","geneComp_00026158","Zfx","Zfx","sgC9","sgNTC",2.15854894976534e-22,FALSE,35
"67","geneComp_00019328","Pdhx","Pdhx","sgC9","sgNTC",4.14427800356899e-22,TRUE,36
"69","geneComp_00021417","Rpp21","Rpp21","sgC9","sgNTC",1.12344870075681e-21,TRUE,37
"71","geneComp_00019073","Pak4","Pak4","sgC9","sgNTC",1.30356509418547e-21,TRUE,38
"73","geneComp_00015744","Ipo9","Ipo9","sgC9","sgNTC",4.43994643473357e-21,TRUE,39
"75","geneComp_00001927","Ap1g1","Ap1g1","sgC9","sgNTC",9.48600876190509e-21,TRUE,40
"77","geneComp_00022699","Smox","Smox","sgC9","sgNTC",2.02349430112575e-20,TRUE,41
"79","geneComp_00019862","Pnpla6","Pnpla6","sgC9","sgNTC",3.1012228388908e-20,TRUE,42
"81","geneComp_00022201","Sik1","Sik1","sgC9","sgNTC",3.1012228388908e-20,TRUE,43
"83","geneComp_00020821","Rbfox2","Rbfox2","sgC9","sgNTC",4.04880829959369e-20,TRUE,44
"85","geneComp_00018366","Npnt","Npnt","sgC9","sgNTC",6.06195036155247e-20,FALSE,45
"87","geneComp_00004835","Dclk1","Dclk1","sgC9","sgNTC",1.67257021391087e-19,TRUE,46
"89","geneComp_00024465","Trim26","Trim26","sgC9","sgNTC",2.11835307514811e-19,TRUE,47
"90","geneComp_00024837","Ubb-ps","Ubb-ps","sgC9","sgNTC",2.83127452107138e-19,TRUE,48
"92","geneComp_00020240","Prmt6","Prmt6","sgC9","sgNTC",4.46582040019622e-19,TRUE,49
"93","geneComp_00023212","Steap2","Steap2","sgC9","sgNTC",4.94999525129098e-19,TRUE,50
